match_id,stage,home_team,away_team,home_score,away_score,is_real,played_at
s1_mexico_south_africa,1,Mexico,South Africa,2,0,true,2026-06-11T19:00:00Z
s1_south_korea_czechia,1,South Korea,Czechia,2,1,true,2026-06-12T02:00:00Z
s1_canada_bosnia_and_herzegovina,1,Canada,Bosnia and Herzegovina,1,1,true,2026-06-12T19:00:00Z
s1_united_states_paraguay,1,United States,Paraguay,4,1,true,2026-06-13T01:00:00Z
s1_qatar_switzerland,1,Qatar,Switzerland,1,1,true,2026-06-13T19:00:00Z
s1_brazil_morocco,1,Brazil,Morocco,1,1,true,2026-06-13T22:00:00Z
s1_haiti_scotland,1,Haiti,Scotland,0,1,true,2026-06-14T01:00:00Z
s1_australia_turkey,1,Australia,Turkey,2,0,true,2026-06-14T04:00:00Z
s1_germany_curacao,1,Germany,Curacao,7,1,true,2026-06-14T17:00:00Z
s1_netherlands_japan,1,Netherlands,Japan,2,2,true,2026-06-14T20:00:00Z
s1_ivory_coast_ecuador,1,Ivory Coast,Ecuador,1,0,true,2026-06-14T23:00:00Z
s1_sweden_tunisia,1,Sweden,Tunisia,5,1,true,2026-06-15T02:00:00Z
s1_spain_cape_verde,1,Spain,Cape Verde,0,0,true,2026-06-15T16:00:00Z
s1_belgium_egypt,1,Belgium,Egypt,1,1,true,2026-06-15T19:00:00Z
s1_saudi_arabia_uruguay,1,Saudi Arabia,Uruguay,1,1,true,2026-06-15T22:00:00Z
s1_iran_new_zealand,1,Iran,New Zealand,2,2,true,2026-06-16T01:00:00Z
s1_france_senegal,1,France,Senegal,3,1,true,2026-06-16T19:00:00Z
s1_iraq_norway,1,Iraq,Norway,1,4,true,2026-06-16T22:00:00Z
s1_argentina_algeria,1,Argentina,Algeria,3,0,true,2026-06-17T01:00:00Z
s1_austria_jordan,1,Austria,Jordan,3,1,true,2026-06-17T04:00:00Z
s1_portugal_dr_congo,1,Portugal,DR Congo,1,1,true,2026-06-17T17:00:00Z
s1_england_croatia,1,England,Croatia,4,2,true,2026-06-17T20:00:00Z
s1_ghana_panama,1,Ghana,Panama,1,0,true,2026-06-17T23:00:00Z
s1_uzbekistan_colombia,1,Uzbekistan,Colombia,1,3,true,2026-06-18T02:00:00Z
s1_czechia_south_africa,1,Czechia,South Africa,1,1,true,2026-06-18T16:00:00Z
s1_switzerland_bosnia_and_herzegovina,1,Switzerland,Bosnia and Herzegovina,4,1,true,2026-06-18T19:00:00Z
s1_canada_qatar,1,Canada,Qatar,6,0,true,2026-06-18T22:00:00Z
s1_mexico_south_korea,1,Mexico,South Korea,1,0,true,2026-06-19T01:00:00Z
s1_united_states_australia,1,United States,Australia,2,0,true,2026-06-19T19:00:00Z
s1_scotland_morocco,1,Scotland,Morocco,0,1,true,2026-06-19T22:00:00Z
s1_brazil_haiti,1,Brazil,Haiti,3,0,true,2026-06-20T00:30:00Z
s1_turkey_paraguay,1,Turkey,Paraguay,0,1,true,2026-06-20T03:00:00Z
s1_netherlands_sweden,1,Netherlands,Sweden,5,1,true,2026-06-20T17:00:00Z
s1_germany_ivory_coast,1,Germany,Ivory Coast,2,1,true,2026-06-20T20:00:00Z
s1_ecuador_curacao,1,Ecuador,Curacao,0,0,true,2026-06-21T00:00:00Z
s1_tunisia_japan,1,Tunisia,Japan,0,4,true,2026-06-21T04:00:00Z
s1_spain_saudi_arabia,1,Spain,Saudi Arabia,4,0,true,2026-06-21T16:00:00Z
s1_belgium_iran,1,Belgium,Iran,0,0,true,2026-06-21T19:00:00Z
s1_uruguay_cape_verde,1,Uruguay,Cape Verde,2,2,true,2026-06-21T22:00:00Z
s1_new_zealand_egypt,1,New Zealand,Egypt,1,3,true,2026-06-22T01:00:00Z
s1_argentina_austria,1,Argentina,Austria,2,0,true,2026-06-22T17:00:00Z
s1_france_iraq,1,France,Iraq,3,0,true,2026-06-22T21:00:00Z
s1_norway_senegal,1,Norway,Senegal,3,2,true,2026-06-23T00:00:00Z
s1_jordan_algeria,1,Jordan,Algeria,1,2,true,2026-06-23T03:00:00Z
s1_portugal_uzbekistan,1,Portugal,Uzbekistan,5,0,true,2026-06-23T17:00:00Z
s1_england_ghana,1,England,Ghana,0,0,true,2026-06-23T20:00:00Z
s1_panama_croatia,1,Panama,Croatia,0,1,true,2026-06-23T23:00:00Z
s1_colombia_dr_congo,1,Colombia,DR Congo,1,0,true,2026-06-24T02:00:00Z
s1_switzerland_canada,1,Switzerland,Canada,2,1,true,2026-06-24T19:00:00Z
s1_bosnia_and_herzegovina_qatar,1,Bosnia and Herzegovina,Qatar,3,1,true,2026-06-24T19:00:00Z
s1_morocco_haiti,1,Morocco,Haiti,4,2,true,2026-06-24T22:00:00Z
s1_scotland_brazil,1,Scotland,Brazil,0,3,true,2026-06-24T22:00:00Z
s1_czechia_mexico,1,Czechia,Mexico,0,3,true,2026-06-25T01:00:00Z
s1_south_africa_south_korea,1,South Africa,South Korea,1,0,true,2026-06-25T01:00:00Z
s1_ecuador_germany,1,Ecuador,Germany,2,1,true,2026-06-25T20:00:00Z
s1_curacao_ivory_coast,1,Curacao,Ivory Coast,0,2,true,2026-06-25T20:00:00Z
s1_tunisia_netherlands,1,Tunisia,Netherlands,1,3,true,2026-06-25T23:00:00Z
s1_japan_sweden,1,Japan,Sweden,1,1,true,2026-06-25T23:00:00Z
s1_turkey_united_states,1,Turkey,United States,3,2,true,2026-06-26T02:00:00Z
s1_paraguay_australia,1,Paraguay,Australia,0,0,true,2026-06-26T02:00:00Z
s1_norway_france,1,Norway,France,1,4,true,2026-06-26T19:00:00Z
s1_senegal_iraq,1,Senegal,Iraq,5,0,true,2026-06-26T19:00:00Z
s1_uruguay_spain,1,Uruguay,Spain,0,1,true,2026-06-27T00:00:00Z
s1_cape_verde_saudi_arabia,1,Cape Verde,Saudi Arabia,0,0,true,2026-06-27T00:00:00Z
s1_new_zealand_belgium,1,New Zealand,Belgium,1,5,true,2026-06-27T03:00:00Z
s1_egypt_iran,1,Egypt,Iran,1,1,true,2026-06-27T03:00:00Z
s1_panama_england,1,Panama,England,0,2,true,2026-06-27T21:00:00Z
s1_croatia_ghana,1,Croatia,Ghana,2,1,true,2026-06-27T21:00:00Z
s1_colombia_portugal,1,Colombia,Portugal,0,0,true,2026-06-27T23:30:00Z
s1_dr_congo_uzbekistan,1,DR Congo,Uzbekistan,3,1,true,2026-06-27T23:30:00Z
s1_jordan_argentina,1,Jordan,Argentina,1,3,true,2026-06-28T02:00:00Z
s1_algeria_austria,1,Algeria,Austria,3,3,true,2026-06-28T02:00:00Z
s2_south_africa_canada,2,South Africa,Canada,0,1,true,2026-06-28T19:00:00Z
s2_brazil_japan,2,Brazil,Japan,2,1,true,2026-06-29T17:00:00Z
s2_germany_paraguay,2,Germany,Paraguay,4,5,true,2026-06-29T20:30:00Z
s2_netherlands_morocco,2,Netherlands,Morocco,3,4,true,2026-06-30T01:00:00Z
s2_ivory_coast_norway,2,Ivory Coast,Norway,1,2,true,2026-06-30T17:00:00Z
s2_france_sweden,2,France,Sweden,3,0,true,2026-06-30T21:00:00Z
s2_mexico_ecuador,2,Mexico,Ecuador,2,0,true,2026-07-01T02:00:00Z
s2_england_dr_congo,2,England,DR Congo,2,1,true,2026-07-01T16:00:00Z
s2_belgium_senegal,2,Belgium,Senegal,3,2,true,2026-07-01T20:00:00Z
s2_united_states_bosnia_and_herzegovina,2,United States,Bosnia and Herzegovina,2,0,true,2026-07-02T00:00:00Z
s2_spain_austria,2,Spain,Austria,3,0,true,2026-07-02T19:00:00Z
s2_portugal_croatia,2,Portugal,Croatia,2,1,true,2026-07-02T23:00:00Z
s2_switzerland_algeria,2,Switzerland,Algeria,2,0,true,2026-07-03T03:00:00Z
s2_australia_egypt,2,Australia,Egypt,3,5,true,2026-07-03T18:00:00Z
s2_argentina_cape_verde,2,Argentina,Cape Verde,3,2,true,2026-07-03T22:00:00Z
s2_colombia_ghana,2,Colombia,Ghana,1,0,true,2026-07-04T01:30:00Z
s3_canada_morocco,3,Canada,Morocco,0,3,true,2026-07-04T17:00:00Z
s3_paraguay_france,3,Paraguay,France,0,1,true,2026-07-04T21:00:00Z
s3_brazil_norway,3,Brazil,Norway,1,2,true,2026-07-05T20:00:00Z
s3_mexico_england,3,Mexico,England,2,3,true,2026-07-06T01:00:00Z
s3_portugal_spain,3,Portugal,Spain,0,1,true,2026-07-06T19:00:00Z
s3_united_states_belgium,3,United States,Belgium,1,4,true,2026-07-07T00:00:00Z
s3_argentina_egypt,3,Argentina,Egypt,3,2,true,2026-07-07T16:00:00Z
s3_switzerland_colombia,3,Switzerland,Colombia,4,3,true,2026-07-07T20:00:00Z
s4_france_morocco,4,France,Morocco,2,0,true,2026-07-09T20:00:00Z
s4_spain_belgium,4,Spain,Belgium,2,1,true,2026-07-10T19:00:00Z
s4_norway_england,4,Norway,England,-1,-1,false,2026-07-11T21:00:00Z
s4_argentina_switzerland,4,Argentina,Switzerland,-1,-1,false,2026-07-12T01:00:00Z
s5_france_spain,5,France,Spain,-1,-1,false,2026-07-14T19:00:00Z
